func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N06-Shubert2D,200k,basin_reset / base,base,1e-05,e80,15,0.7185,0.9889,0.2704,15/0/0,0.0006,1.0,0.7185,0.9963,0.2778,15/0/0,0.0006,1.0,0.0,0.0074,0.0074,1/14/0,0.6374,0.53,True,False,False,False,False,cov,coverage
N08-Shubert3D,400k,soltrim_rho / base,base,0.1,e61,15,0.8412,0.977,0.1358,15/0/0,0.0006,1.0,0.977,0.977,0.0,0/15/0,1.0,0.5,0.1358,0.0,-0.1358,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N08-Shubert3D,400k,soltrim_rho / base,base,0.01,e61,15,0.8412,0.972,0.1309,15/0/0,0.0006,1.0,0.972,0.972,0.0,0/15/0,1.0,0.5,0.1309,0.0,-0.1309,0/0/15,0.0006,0.0,False,True,False,False,False,loss,report
N08-Shubert3D,400k,soltrim_rho / base,base,0.001,e61,15,0.6889,0.6889,0.0,0/15/0,1.0,0.5,0.6889,0.6889,0.0,0/15/0,1.0,0.5,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N08-Shubert3D,400k,soltrim_rho / base,base,0.0001,e61,15,0.0527,0.0527,0.0,0/15/0,1.0,0.5,0.0527,0.0527,0.0,0/15/0,1.0,0.5,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N08-Shubert3D,400k,soltrim_rho / base,base,1e-05,e61,15,0.0132,0.0132,0.0,0/15/0,1.0,0.5,0.0132,0.0132,0.0,0/15/0,1.0,0.5,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N08-Shubert3D,400k,basin_reset / base,base,0.1,e80,15,0.8412,0.828,-0.0132,7/1/7,0.3178,0.5,0.977,0.8346,-0.1424,0/0/15,0.0006,0.0,0.1358,0.0066,-0.1292,0/0/15,0.0006,0.0,True,True,True,True,True,cov+loss,-
N08-Shubert3D,400k,basin_reset / base,base,0.01,e80,15,0.8412,0.828,-0.0132,7/1/7,0.3178,0.5,0.972,0.8346,-0.1374,0/0/15,0.0006,0.0,0.1309,0.0066,-0.1243,0/0/15,0.0006,0.0,True,True,True,True,True,cov+loss,-
N08-Shubert3D,400k,basin_reset / base,base,0.001,e80,15,0.6889,0.828,0.1391,15/0/0,0.0007,1.0,0.6889,0.8346,0.1457,15/0/0,0.0007,1.0,0.0,0.0066,0.0066,3/12/0,0.2048,0.6,True,False,False,False,False,cov,coverage
N08-Shubert3D,400k,basin_reset / base,base,0.0001,e80,15,0.0527,0.828,0.7753,15/0/0,0.0006,1.0,0.0527,0.8346,0.7819,15/0/0,0.0007,1.0,0.0,0.0066,0.0066,3/12/0,0.2048,0.6,True,False,False,False,False,cov,coverage
N08-Shubert3D,400k,basin_reset / base,base,1e-05,e80,15,0.0132,0.828,0.8148,15/0/0,0.0006,1.0,0.0132,0.8346,0.8214,15/0/0,0.0006,1.0,0.0,0.0066,0.0066,3/12/0,0.2048,0.6,True,False,False,False,False,cov,coverage
N08-Shubert3D,400k,lvl_c100_fl08 / lvl_c100,lvl_c100,0.1,e55,15,0.8601,0.8626,0.0025,7/0/8,0.9317,0.47,0.986,0.9802,-0.0058,2/7/6,0.1272,0.37,0.1259,0.1177,-0.0082,4/2/9,0.2136,0.33,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_fl08 / lvl_c100,lvl_c100,0.001,e55,15,0.8601,0.8626,0.0025,7/0/8,0.9317,0.47,0.9786,0.9778,-0.0008,7/2/6,0.9541,0.53,0.1185,0.1152,-0.0033,4/4/7,0.6058,0.4,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_fl08 / lvl_c100,lvl_c100,0.0001,e55,15,0.8601,0.8626,0.0025,7/0/8,0.9317,0.47,0.9704,0.9728,0.0025,7/3/5,0.6453,0.57,0.1103,0.1103,0.0,5/3/7,0.8637,0.43,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_fl08 / lvl_c100,lvl_c100,1e-05,e55,15,0.7539,0.8626,0.1086,15/0/0,0.0006,1.0,0.7539,0.963,0.2091,15/0/0,0.0006,1.0,0.0,0.1004,0.1004,15/0/0,0.0006,1.0,True,True,False,False,False,cov+loss,mixed
N08-Shubert3D,400k,lvl_c100_sig10 / lvl_c100,lvl_c100,0.1,e55,15,0.8601,0.8444,-0.0156,3/2/10,0.0494,0.27,0.986,0.977,-0.0091,4/4/7,0.2537,0.4,0.1259,0.1325,0.0066,5/4/6,0.6686,0.47,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_sig10 / lvl_c100,lvl_c100,0.001,e55,15,0.8601,0.8444,-0.0156,3/2/10,0.0494,0.27,0.9786,0.9704,-0.0082,5/2/8,0.2661,0.4,0.1185,0.1259,0.0074,6/3/6,0.606,0.5,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_sig10 / lvl_c100,lvl_c100,0.0001,e55,15,0.8601,0.8444,-0.0156,3/2/10,0.0494,0.27,0.9704,0.9646,-0.0058,7/2/6,0.6485,0.53,0.1103,0.1202,0.0099,8/2/5,0.3311,0.6,False,False,False,False,False,-,-
N08-Shubert3D,400k,lvl_c100_sig10 / lvl_c100,lvl_c100,1e-05,e55,15,0.7539,0.837,0.0831,15/0/0,0.0006,1.0,0.7539,0.8947,0.1407,15/0/0,0.0006,1.0,0.0,0.0576,0.0576,14/1/0,0.0007,0.97,True,True,False,False,False,cov+loss,mixed
N09-Vincent3D,40k,commit_place_r010 / base,base,0.1,e40,15,0.1136,0.1389,0.0253,13/0/2,0.0012,0.87,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8864,0.8611,-0.0253,2/0/13,0.0012,0.13,False,True,False,False,False,loss,report
