draw,start_opt,land_opt,dist,best_f,evals
293,2,5,0.0007557153209194116,0.00010917455456970488,1500
294,3,5,0.0007757401811979996,0.0001109628079861036,1500
296,4,4,0.00017413053977259873,8.383055242020064e-06,1500
295,1,5,0.00050844068701764,4.949056443802942e-05,1500
297,3,5,0.0003347443675915409,2.482738297910693e-05,1500
298,5,5,0.0003948090317679045,3.0242785073803014e-05,1500
299,4,4,0.0006815260841251228,0.00011208778451308393,1500
300,4,4,0.0001486821700057537,5.713587795116529e-06,1500
301,4,5,0.0023889575976301365,0.0011565659148625649,1500
302,2,5,0.0007591744340559742,0.00011366545364340838,1500
303,3,5,0.001013506626560903,0.00019926427836691025,1500
305,5,5,0.00044252242418012206,3.724458041146984e-05,1500
304,4,5,0.0005712703409620809,6.255757427771642e-05,1500
306,3,5,0.0019621369501201815,0.0007477144770661078,1500
307,4,4,0.0004612722437938563,5.664509337066349e-05,1500
308,2,4,0.0003236309176822684,2.6787637046495274e-05,1500
309,4,4,0.0002602585713016911,1.8336794052622217e-05,1500
310,2,4,0.00046670217004084815,5.929358959447931e-05,1500
311,4,5,0.00035127161985829913,2.330696070370585e-05,1500
312,0,0,0.0008632640104851645,0.0002522457280772455,1500
313,4,5,0.0005038689362487471,4.88899814457917e-05,1500
314,4,5,0.0009629044297302173,0.00017250334875191036,1500
315,5,5,0.0020384039255170743,0.0007925759213658289,1500
316,3,5,0.0016768784175928485,0.0005387992293418961,1500
317,5,5,0.0009442351747106827,0.0001699661672197906,1500
318,3,5,0.00020899970544697373,8.081717543193568e-06,1500
319,3,5,0.0011713547620708575,0.0002574448618872583,1500
320,2,5,0.0023594899629550805,0.0010774217193638086,1500
321,3,5,0.0008230058762712693,0.00012688685583791125,1500
322,3,4,0.002039313990552558,0.0010559412501832239,1500
323,3,5,0.001182346449335005,0.00026079495595344293,1500
324,1,1,0.00016487856000556617,8.550959085175396e-06,1500
325,0,5,0.0010840367920365405,0.00021742902692640798,1500
326,3,5,0.0008486841728627983,0.00013650677359094325,1500
327,3,5,0.00047098663725113316,4.246914701000205e-05,1500
328,4,5,0.0004627116189603167,3.95096012183462e-05,1500
330,4,5,0.0010929880730210987,0.0002325666635411319,1500
329,4,5,0.00021936611277561044,8.954580962036278e-06,1500
331,4,4,0.00041840102758915426,5.270674984312224e-05,1500
332,1,1,0.0005233066280295988,8.627389995851265e-05,1500
333,3,5,0.0029935143737490045,0.0017711628880777545,1500
334,3,5,0.0004214050690751317,3.4014825849063685e-05,1500
335,3,5,0.0014204354648127478,0.00038298315850799583,1500
336,0,5,0.0005772593750346939,6.502230935497081e-05,1500
337,3,5,0.00037778663855038235,2.895084188961303e-05,1500
338,4,4,0.00023049998088494394,1.3195212230875555e-05,1500
339,1,5,0.0016383099041550242,0.0005186917794461758,1500
340,4,0,0.0010224969212105084,0.0003520664157012456,1500
341,3,5,0.0006774625846323087,8.528254918399295e-05,1500
343,1,1,0.0001234932029320612,4.801022733495319e-06,1500
342,4,5,0.0007240588485699535,0.00010757235563275258,1500
344,0,5,0.0017579554173173804,0.0005972150312331533,1500
345,4,4,0.0005643119358115837,7.885344599058965e-05,1500
346,1,1,0.0003917066319154995,4.825347189445064e-05,1500
347,4,5,0.0004122921111448036,3.278920054628044e-05,1500
348,5,5,0.0001941366407292883,7.062633491774385e-06,1500
349,0,5,0.0003401607543771686,2.193396251719265e-05,1500
350,2,5,0.002975669664635251,0.0016609475499045944,1500
352,4,4,0.00046881672148473127,5.427864665865264e-05,1500
351,3,5,0.0034944955076008657,0.002339588231941778,1500
353,5,5,0.0002953578446375079,1.6398017300382526e-05,1500
354,3,5,0.0001952169903076541,7.168092484484832e-06,1500
355,2,4,0.00015654049104479038,6.377423931818848e-06,1500
356,5,5,0.00046121349553915905,3.998439018484852e-05,1500
357,1,5,0.002395375611870504,0.0010791800262537463,1500
358,5,5,0.0014472730666591895,0.0003867885944877322,1500
359,0,0,0.0008537128535955028,0.00024579785733858594,1500
360,4,4,0.0003653921737235429,3.559313271957364e-05,1500
361,3,5,0.0013121263746556004,0.00034421673535690205,1500
362,3,5,0.00019700752735432172,7.357019790941391e-06,1500
363,5,5,0.0007393219450019402,0.00010450177173110585,1500
364,5,5,0.00031212765917044337,1.8273380623755434e-05,1500
365,3,0,0.0010398456246687661,0.0003648919162016874,1500
366,3,5,0.0016577359007356222,0.0005496088989804493,1500
367,5,5,0.0006533009381795682,8.028688220928773e-05,1500
368,5,5,0.0005454342854525394,5.5877224710835924e-05,1500
369,3,5,0.0007739426717832612,0.00011206344844625324,1500
370,4,4,0.0002600778829860293,1.7047177798544528e-05,1500
371,3,5,0.0005137077734552857,5.187855024817476e-05,1500
372,3,5,0.005988161023277836,0.007008340975940628,1500
373,5,5,0.0008974878850725226,0.0001550638609051975,1500
375,4,4,8.110812141655667e-05,2.116325778650428e-06,1500
374,0,5,0.0013641815882839416,0.00036541481654743025,1500
376,3,5,0.00046132937444137327,4.195970119102688e-05,1500
377,3,0,0.00045371068154757095,6.955296977533785e-05,1500
378,5,5,0.0028602238981725752,0.001514780361283303,1500
379,5,5,0.00040403834642975105,3.0400179169024073e-05,1500
380,5,5,0.0008829804661864733,0.00014444142145330082,1500
381,3,5,0.0008664558883539837,0.0001412856605206556,1500
382,4,5,0.0002763767570946252,1.4450505713259703e-05,1500
383,1,5,0.0011694922028882033,0.0002738595444304312,1500
384,4,5,0.0013468712658509315,0.00034156339767672767,1500
385,3,5,0.0002558145418398086,1.2380278941242114e-05,1500
386,5,5,0.0013901599428873801,0.0003693855685489404,1500
387,3,5,0.000753998316880999,0.00010788020386850765,1500
388,5,5,0.0006107780415915697,7.414227758891072e-05,1500
389,4,5,0.0025744637034696622,0.0013120738993728617,1500
391,4,5,4.531074711915476,411.2181922820008,1500
390,1,0,0.0007934106049155589,0.00021262462239228343,1500
393,5,5,0.0005002630077125865,4.7725574191870355e-05,1500
392,0,5,0.0002164890200718011,9.39652960252605e-06,1500
394,5,0,0.002378380895746884,0.0019025388365688824,1500
395,5,5,0.0004959597229855689,4.842748674369888e-05,1500
