pid,idx,nn,tau,clustered,hits,reached
M09,9,7.427892411990199,5.5120703441763,0,11,1
M10,0,7.790923945418571,5.524936994661847,0,1,1
M10,1,6.65913229217432,5.524936994661847,0,1,1
M10,2,11.329558282124998,5.524936994661847,0,10,1
M10,3,9.870169996281886,5.524936994661847,0,0,0
M10,4,10.904835673480806,5.524936994661847,0,23,1
M10,5,8.423001443904447,5.524936994661847,0,4,1
M10,6,6.65913229217432,5.524936994661847,0,1,1
M10,7,7.451666388737094,5.524936994661847,0,0,0
M10,8,9.746431204834806,5.524936994661847,0,0,0
M10,9,8.27161221734155,5.524936994661847,0,2,1
M11,0,9.266470956766007,5.502505268429917,0,5,1
M11,1,6.921107889921832,5.502505268429917,0,2,1
M11,2,10.075066488663282,5.502505268429917,0,1,1
M11,3,8.702656476398708,5.502505268429917,0,9,1
M11,4,12.160663610879578,5.502505268429917,0,8,1
M11,5,6.528054279192434,5.502505268429917,0,1,1
M11,6,8.60779708251489,5.502505268429917,0,8,1
M11,7,10.075066488663282,5.502505268429917,0,11,1
M11,8,6.528054279192434,5.502505268429917,0,1,1
M11,9,10.309281077518412,5.502505268429917,0,0,0
M12,0,6.370918710240147,5.532480895867338,0,2,1
M12,1,11.818836544778696,5.532480895867338,0,14,1
M12,2,10.03073730763181,5.532480895867338,0,5,1
M12,3,10.837113622399464,5.532480895867338,0,56,1
M12,4,9.119386482530938,5.532480895867338,0,3,1
M12,5,7.179734351963636,5.532480895867338,0,4,1
M12,6,9.822005807142423,5.532480895867338,0,11,1
M12,7,7.4661122102850515,5.532480895867338,0,4,1
M12,8,9.037733494071508,5.532480895867338,0,7,1
M12,9,6.370918710240147,5.532480895867338,0,0,0
M13,0,8.735806962001861,5.536368703359132,0,7,1
M13,1,8.94809463610285,5.536368703359132,0,32,1
M13,2,7.107441234957031,5.536368703359132,0,1,1
M13,3,11.563523952218071,5.536368703359132,0,12,1
M13,4,11.27207027349953,5.536368703359132,0,11,1
M13,5,6.363558600802657,5.536368703359132,0,0,0
M13,6,9.04987541730568,5.536368703359132,0,19,1
M13,7,9.798130941882453,5.536368703359132,0,22,1
M13,8,6.363558600802657,5.536368703359132,0,1,1
M13,9,8.268233701829693,5.536368703359132,0,8,1
M14,0,7.9192415283739725,5.500284695264273,0,13,1
M14,1,10.092775396356261,5.500284695264273,0,27,1
M14,2,7.256287119183319,5.500284695264273,0,1,1
M14,3,9.855510917779547,5.500284695264273,0,14,1
M14,4,8.147284997099407,5.500284695264273,0,16,1
M14,5,11.124060138891544,5.500284695264273,0,27,1
M14,6,7.256287119183319,5.500284695264273,0,4,1
M14,7,9.286439203953913,5.500284695264273,0,14,1
