descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
31,12510,4.8940435704e-08,18,5.51116e-07,maxfevals,0.661292219731,0.392620123387,-3.57484558331,2.01341822745,1.75364782391,0.321906880966,-1.73565762021,0.317087575163,-1.22218844062,1.69419287696
32,12510,6.40318020828e-07,3,8.85452e-06,maxfevals,-1.87667822164,4.47429817095,0.634785628443,-1.41205928426,-0.894813695924,-0.494011936789,-2.76566411293,1.47694017155,-1.99993740527,-3.10235311494
33,12510,8.27614599075e-09,4,7.90691e-08,maxfevals,-1.92703754512,-3.84620130179,3.14453264772,2.83731119953,2.58720756293,4.37001180766,-2.62165614471,-0.948697330705,2.8166807125,-3.49316605296
34,12510,9.37322397476e-09,4,8.68169e-08,maxfevals,-1.92703754227,-3.84620129794,3.14453265192,2.83731119296,2.58720755626,4.37001181399,-2.62165613648,-0.948697317425,2.81668068557,-3.49316606454
35,12510,1.48328085459e-06,6,2.25056e-05,maxfevals,-2.43101951387,-4.10334589098,-1.6756785898,4.28268758981,-4.16810923608,-0.845850767375,-1.20492389847,0.753711799534,-4.1729872728,-4.34268012414
36,12510,2.12894136098e-07,8,2.68251e-06,maxfevals,0.736599404996,-3.39336178186,0.687135231167,-1.87775957645,-1.91377686672,-0.494905644713,-2.69450639434,2.16902109649,3.1231664226,3.90855449146
37,4840,5.26654275745e-11,16,9.33376e-11,tolxstagnation,3.6101962447,-2.85791977853,3.2806824411,0.710866249871,1.18772173792,-3.43657903692,-2.1996260541,-0.431118301611,-3.00935292372,-1.65076599624
38,12510,1.0353787161e-08,4,9.4713e-08,maxfevals,-1.92703745854,-3.84620142009,3.14453260587,2.83731121752,2.58720753538,4.37001181238,-2.62165614491,-0.948697384916,2.81668073109,-3.49316603323
39,12510,7.65113838952e-09,4,7.43865e-08,maxfevals,-1.92703754247,-3.8462013052,3.14453264756,2.83731119833,2.58720756176,4.37001180889,-2.62165614612,-0.948697332592,2.8166807117,-3.49316605376
40,4910,6.55973053654e-11,16,1.1165e-10,tolxstagnation,3.6101962446,-2.85791977844,3.28068244116,0.710866249821,1.187721738,-3.43657903696,-2.19962605408,-0.431118301588,-3.0093529238,-1.65076599621
41,4640,4.55031567981e-11,16,5.49482e-11,tolxstagnation,3.61019624467,-2.85791977852,3.28068244111,0.710866249876,1.18772173795,-3.43657903696,-2.19962605411,-0.431118301581,-3.00935292375,-1.65076599623
42,12510,1.51469133414e-06,6,2.25471e-05,maxfevals,-2.43102765275,-4.10332684503,-1.67565195352,4.28267665115,-4.1681021441,-0.845865255757,-1.20491442569,0.753723107639,-4.17299345846,-4.34268139807
43,12510,1.66240620558e-06,6,2.42521e-05,maxfevals,-2.43103089806,-4.10332499296,-1.67565140484,4.28268223327,-4.1680976071,-0.845871744996,-1.20491283974,0.753722179697,-4.1729842863,-4.34267628024
44,4520,9.7003294286e-11,16,1.64121e-10,tolxstagnation,3.61019624472,-2.85791977859,3.28068244108,0.710866249917,1.1877217379,-3.43657903692,-2.19962605415,-0.431118301604,-3.00935292371,-1.65076599621
45,3880,2.80664380625e-11,9,1.1258e-11,tolxstagnation,0.1481930703,4.35657166654,-2.99231495626,0.944064084489,0.142709502599,2.43534895323,3.52416467816,1.22203883945,1.08882062719,1.55501410612
46,4070,2.72166289506e-10,16,3.21267e-10,tolxstagnation,3.6101962445,-2.85791977851,3.28068244116,0.710866249851,1.1877217381,-3.43657903707,-2.19962605421,-0.431118301602,-3.00935292387,-1.65076599607
47,12510,6.90710209028e-08,18,7.17952e-07,maxfevals,0.661292176491,0.392620321653,-3.57484543573,2.01341748987,1.75364792897,0.321906403383,-1.73565711563,0.317087800703,-1.2221888738,1.69419235889
48,12510,9.91134641026e-09,4,9.18647e-08,maxfevals,-1.92703755127,-3.84620129134,3.14453265325,2.8373111945,2.58720756185,4.37001181218,-2.62165614283,-0.948697325983,2.81668070231,-3.49316605806
49,12140,3.37223582392e-10,15,2.93015e-09,tolxstagnation,1.94373228548,-0.450413551748,-0.588811678811,1.31479781366,-1.11470258687,-1.61875927203,2.4603926694,3.41074611467,-0.515396641879,1.51138203078
50,4560,8.92583784662e-11,16,1.20858e-10,tolxstagnation,3.61019624458,-2.85791977848,3.28068244115,0.710866249811,1.18772173802,-3.43657903698,-2.19962605413,-0.431118301633,-3.00935292378,-1.65076599618
51,12510,8.03723310128e-10,15,6.09677e-09,maxfevals,1.94373228686,-0.450413554093,-0.58881167969,1.31479781465,-1.11470258785,-1.61875927171,2.46039266915,3.4107461144,-0.515396641439,1.51138203085
52,180,14.869601819,16,2.78138,budget,1.98919290325,-4.24930862848,3.97907056321,0.208432006072,0.414211089828,-3.58619151677,-1.80659953445,-1.65333314228,-3.4084807221,-1.71374466992
