function,method,seed,n_report,spread,distinct,quality
F09-RosenbrockRot,MAP-Elites,1,400,0.14471,5,6.8744e+10
F09-RosenbrockRot,MC-ESO-crowd,1,38,0.21827,5,8.78327e+10
F09-RosenbrockRot,MC-ESO,2,28,0.00000,1,0
F09-RosenbrockRot,NMMSO,2,4,0.26916,4,3.3952e+11
F09-RosenbrockRot,NCDE,2,30,0.13152,5,3.04761e+10
F09-RosenbrockRot,r3pso,2,30,0.19728,3,5.96084e+10
F09-RosenbrockRot,NM-Restart,2,21,0.43469,4,6.77772e+11
F09-RosenbrockRot,IPOP-CMA-ES,2,101,0.18075,5,2.41046e+12
F09-RosenbrockRot,DE,2,30,0.00000,1,0
F09-RosenbrockRot,PSO,2,30,0.00000,1,199.624
F09-RosenbrockRot,Crowding-DE,2,30,0.18405,5,5.49388e+10
F09-RosenbrockRot,MAP-Elites,2,400,0.14459,5,4.68387e+10
F09-RosenbrockRot,MC-ESO-crowd,2,37,0.24935,5,8.72538e+10
F10-EllipsoidalRot,MC-ESO,0,28,0.13743,5,5.57571e+06
F10-EllipsoidalRot,NMMSO,0,2,0.00000,1,1.78071e+07
F10-EllipsoidalRot,NCDE,0,30,0.27448,5,5.07255e+08
F10-EllipsoidalRot,r3pso,0,30,0.16957,5,947288
F10-EllipsoidalRot,NM-Restart,0,22,0.68213,3,1.41625e+07
F10-EllipsoidalRot,IPOP-CMA-ES,0,52,0.00000,1,0
F10-EllipsoidalRot,DE,0,30,0.00000,1,0
F10-EllipsoidalRot,PSO,0,30,0.00000,1,1.49641e+06
F10-EllipsoidalRot,Crowding-DE,0,30,0.09006,4,637324
F10-EllipsoidalRot,MAP-Elites,0,400,0.35599,5,1.14834e+07
F10-EllipsoidalRot,MC-ESO-crowd,0,34,0.23598,5,2.23568e+06
F10-EllipsoidalRot,MC-ESO,1,29,0.44140,5,6.78137e+07
F10-EllipsoidalRot,NMMSO,1,2,0.00000,1,109218
F10-EllipsoidalRot,NCDE,1,30,0.31281,5,6.22414e+08
F10-EllipsoidalRot,r3pso,1,30,0.18768,5,3.32979e+06
F10-EllipsoidalRot,NM-Restart,1,23,0.43616,3,2.03446e+11
F10-EllipsoidalRot,IPOP-CMA-ES,1,52,0.00000,1,0
F10-EllipsoidalRot,DE,1,30,0.00000,1,0
F10-EllipsoidalRot,PSO,1,30,0.10642,5,9.86875e+10
F10-EllipsoidalRot,Crowding-DE,1,30,0.10104,4,787657
F10-EllipsoidalRot,MAP-Elites,1,400,0.37646,5,2.43191e+07
F10-EllipsoidalRot,MC-ESO-crowd,1,35,0.31438,5,4.86023e+06
F10-EllipsoidalRot,MC-ESO,2,31,0.14362,5,1.08223e+06
F10-EllipsoidalRot,NMMSO,2,2,0.00000,1,1.87791e+06
F10-EllipsoidalRot,NCDE,2,30,0.20086,5,1.79308e+06
F10-EllipsoidalRot,r3pso,2,30,0.24453,5,2.15273e+06
F10-EllipsoidalRot,NM-Restart,2,22,0.57772,3,8.72654e+06
F10-EllipsoidalRot,IPOP-CMA-ES,2,101,0.33264,5,1.11416e+10
F10-EllipsoidalRot,DE,2,30,0.00000,1,0
F10-EllipsoidalRot,PSO,2,30,0.08510,3,1.41741e+10
F10-EllipsoidalRot,Crowding-DE,2,30,0.07273,3,375452
F10-EllipsoidalRot,MAP-Elites,2,400,0.48704,5,1.8319e+07
F10-EllipsoidalRot,MC-ESO-crowd,2,39,0.27287,5,3.06452e+06
F11-Discus,MC-ESO,0,29,0.15463,5,3.55012e+06
F11-Discus,NMMSO,0,1,0.00000,1,6336.56
F11-Discus,NCDE,0,30,0.24907,5,7.32329e+06
F11-Discus,r3pso,0,30,0.24005,5,7.14604e+06
F11-Discus,NM-Restart,0,22,0.69288,3,3.35497e+07
F11-Discus,IPOP-CMA-ES,0,52,0.27635,5,2.70382e+08
F11-Discus,DE,0,30,0.00000,1,0
F11-Discus,PSO,0,30,0.17437,3,1.13577e+10
F11-Discus,Crowding-DE,0,30,0.10352,4,1.16725e+06
F11-Discus,MAP-Elites,0,400,0.47152,5,5.34935e+07
F11-Discus,MC-ESO-crowd,0,39,0.24852,5,6.16963e+06
F11-Discus,MC-ESO,1,30,0.36282,5,2.55449e+09
F11-Discus,NMMSO,1,2,0.00000,1,476948
F11-Discus,NCDE,1,30,0.38355,5,1.74363e+07
F11-Discus,r3pso,1,30,0.16100,5,4.45179e+06
F11-Discus,NM-Restart,1,18,0.69288,3,3.35497e+07
F11-Discus,IPOP-CMA-ES,1,27,0.00000,1,0
F11-Discus,DE,1,30,0.00000,1,0
F11-Discus,PSO,1,30,0.11231,4,2.26589e+11
F11-Discus,Crowding-DE,1,30,0.05479,2,301650
F11-Discus,MAP-Elites,1,400,0.29093,5,5.12896e+07
F11-Discus,MC-ESO-crowd,1,39,0.23948,5,5.43091e+06
F11-Discus,MC-ESO,2,30,0.15624,5,3.46134e+06
F11-Discus,NMMSO,2,2,0.00000,1,202966
F11-Discus,NCDE,2,30,0.42050,5,1.09935e+13
F11-Discus,r3pso,2,30,0.18927,5,3.77373e+06
F11-Discus,NM-Restart,2,23,0.53335,4,2.55639e+07
F11-Discus,IPOP-CMA-ES,2,52,0.00000,1,0
F11-Discus,DE,2,30,0.00000,1,0
F11-Discus,PSO,2,30,0.09899,4,6.41295e+10
F11-Discus,Crowding-DE,2,30,0.08572,3,461232
F11-Discus,MAP-Elites,2,400,0.36755,5,1.50157e+07
F11-Discus,MC-ESO-crowd,2,38,0.22004,5,4.60164e+06
F12-BentCigar,MC-ESO,0,30,0.17558,5,7.22554e+13
F12-BentCigar,NMMSO,0,1,0.00000,1,0
F12-BentCigar,NCDE,0,30,0.15464,5,2.15801e+09
F12-BentCigar,r3pso,0,30,0.00000,1,39.6547
F12-BentCigar,NM-Restart,0,23,0.66668,3,2.95279e+10
F12-BentCigar,IPOP-CMA-ES,0,52,0.00000,1,0
F12-BentCigar,DE,0,30,0.00000,1,0
F12-BentCigar,PSO,0,30,0.00000,1,387.167
F12-BentCigar,Crowding-DE,0,30,0.12606,5,2.02527e+09
F12-BentCigar,MAP-Elites,0,400,0.48474,5,3.27053e+10
F12-BentCigar,MC-ESO-crowd,0,36,0.24917,5,7.48633e+09
F12-BentCigar,MC-ESO,1,29,0.00000,1,0
F12-BentCigar,NMMSO,1,2,0.00000,1,45.872
F12-BentCigar,NCDE,1,30,0.27357,5,8.17822e+09
F12-BentCigar,r3pso,1,30,0.00000,1,249.866
F12-BentCigar,NM-Restart,1,24,0.66668,3,2.95279e+10
F12-BentCigar,IPOP-CMA-ES,1,52,0.24833,5,9.77868e+09
F12-BentCigar,DE,1,30,0.00000,1,0
F12-BentCigar,PSO,1,30,0.00000,1,21.0607
F12-BentCigar,Crowding-DE,1,30,0.11982,5,1.78894e+09
F12-BentCigar,MAP-Elites,1,400,0.37609,5,3.80163e+10
F12-BentCigar,MC-ESO-crowd,1,36,0.19217,5,3.60098e+09
F12-BentCigar,MC-ESO,2,30,0.27806,5,3.64165e+10
F12-BentCigar,NMMSO,2,2,0.00000,1,0.362873
F12-BentCigar,NCDE,2,30,0.30996,5,2.06698e+10
F12-BentCigar,r3pso,2,30,0.00000,1,0.802069
F12-BentCigar,NM-Restart,2,24,0.27387,3,1.69619e+10
F12-BentCigar,IPOP-CMA-ES,2,52,0.00000,1,0
F12-BentCigar,DE,2,30,0.00000,1,0
F12-BentCigar,PSO,2,30,0.00000,1,160.704
F12-BentCigar,Crowding-DE,2,30,0.10839,5,1.53197e+09
F12-BentCigar,MAP-Elites,2,400,0.36563,5,3.42312e+10
F12-BentCigar,MC-ESO-crowd,2,37,0.20207,5,4.66193e+09
F13-SharpRidge,MC-ESO,0,24,0.33348,5,33.5029
F13-SharpRidge,NMMSO,0,1,0.00000,1,0.0231865
F13-SharpRidge,NCDE,0,30,0.20119,5,0.607233
F13-SharpRidge,r3pso,0,30,0.12071,4,0.119152
