function,method,seed,scenario,regret,spread,wiped
F01-Sphere,Crowding-DE,0,20,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,21,0.239532,0.00000,1
F01-Sphere,Crowding-DE,0,22,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,23,0.178969,0.00000,1
F01-Sphere,Crowding-DE,0,24,9.9197,0.00000,1
F01-Sphere,Crowding-DE,0,25,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,26,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,27,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,28,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,29,4.23952e-09,0.00000,0
F01-Sphere,Crowding-DE,0,30,0.114473,0.00000,1
F01-Sphere,Crowding-DE,0,31,0.205226,0.00000,1
F01-Sphere,Crowding-DE,0,32,0.194463,0.00000,1
F01-Sphere,Crowding-DE,0,33,4.23952e-09,0.00000,0
