function,method,seed,scenario,regret,wiped
F24-LunacekRastrigin,MC-ESO,1,15,0,0
F24-LunacekRastrigin,MC-ESO,1,16,0,0
F24-LunacekRastrigin,MC-ESO,1,17,1.28845,0
F24-LunacekRastrigin,MC-ESO,1,18,0,0
F24-LunacekRastrigin,MC-ESO,1,19,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,20,0,0
F24-LunacekRastrigin,MC-ESO,1,21,0,0
F24-LunacekRastrigin,MC-ESO,1,22,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,23,137.207,1
F24-LunacekRastrigin,MC-ESO,1,24,136.971,1
F24-LunacekRastrigin,MC-ESO,1,25,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,26,0,0
F24-LunacekRastrigin,MC-ESO,1,27,0.115634,0
F24-LunacekRastrigin,MC-ESO,1,28,0,0
F24-LunacekRastrigin,MC-ESO,1,29,1.28845,0
F24-LunacekRastrigin,MC-ESO,1,30,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,31,124.174,1
F24-LunacekRastrigin,MC-ESO,1,32,0,0
F24-LunacekRastrigin,MC-ESO,1,33,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,34,1.28845,0
F24-LunacekRastrigin,MC-ESO,1,35,137.679,1
F24-LunacekRastrigin,MC-ESO,1,36,2.29953,0
F24-LunacekRastrigin,MC-ESO,1,37,1.28845,0
F24-LunacekRastrigin,MC-ESO,1,38,0,0
F24-LunacekRastrigin,MC-ESO,1,39,0.190234,0
F24-LunacekRastrigin,MC-ESO,1,40,0,0
F24-LunacekRastrigin,MC-ESO,1,41,0,0
F24-LunacekRastrigin,MC-ESO,1,42,0,0
F24-LunacekRastrigin,MC-ESO,1,43,0,0
F24-LunacekRastrigin,MC-ESO,1,44,0,0
F24-LunacekRastrigin,NMMSO,1,15,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,16,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,17,134.721,1
F24-LunacekRastrigin,NMMSO,1,18,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,19,0.804982,0
F24-LunacekRastrigin,NMMSO,1,20,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,21,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,22,0.804982,0
F24-LunacekRastrigin,NMMSO,1,23,133.019,1
F24-LunacekRastrigin,NMMSO,1,24,139.688,1
F24-LunacekRastrigin,NMMSO,1,25,0.804982,0
F24-LunacekRastrigin,NMMSO,1,26,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,27,0.730382,0
F24-LunacekRastrigin,NMMSO,1,28,0.00783822,0
F24-LunacekRastrigin,NMMSO,1,29,2.92847,0
F24-LunacekRastrigin,NMMSO,1,30,0.804982,0
