function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N06-Shubert2D,18,0,26,18450,9.3300302296484e-05,1,1,6.0870473890432556e-05,605,0
N06-Shubert2D,18,0,27,19025,8.343205328742442e-05,1,1,0.0003091842949024825,555,1
N06-Shubert2D,18,0,28,19665,0.00010421267160154457,1,1,3.7382079777961895e-05,620,1
N06-Shubert2D,18,1,0,2655,8.526512829121202e-14,1,1,1e-06,901,1
N06-Shubert2D,18,1,1,3300,2.40398078403814e-05,1,1,3.177476781126761e-05,625,0
N06-Shubert2D,18,1,2,3900,4.3663784225600466e-05,1,1,0.00013718671418979815,580,0
N06-Shubert2D,18,1,3,4460,5.373627558924454e-05,1,1,0.0005034549886464197,540,0
N06-Shubert2D,18,1,4,5110,1.4349905768540339e-05,1,1,2.7008552639577468e-05,630,0
N06-Shubert2D,18,1,5,5750,7.28156691991444e-05,1,1,3.7382079777961895e-05,620,0
N06-Shubert2D,18,1,6,6365,7.509530672678011e-05,1,1,8.424979085180978e-05,595,0
N06-Shubert2D,18,1,7,7010,3.39244024587515e-05,1,1,3.177476781126761e-05,625,0
N06-Shubert2D,18,1,8,7670,1.640333729824306e-05,1,1,1.951367928209472e-05,640,1
N06-Shubert2D,18,1,9,8260,3.830483947808716e-05,1,1,0.00018987780510698704,570,1
N06-Shubert2D,18,1,10,8895,6.580488886243074e-05,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,1,11,9530,9.082364499590767e-06,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,1,12,10170,6.144621829662356e-05,1,1,3.7382079777961895e-05,620,0
N06-Shubert2D,18,1,13,10780,2.8193395138487176e-05,1,1,9.911740100212916e-05,590,1
N06-Shubert2D,18,1,14,11420,3.146044201685072e-05,1,1,3.7382079777961895e-05,620,1
N06-Shubert2D,18,1,15,12015,6.701099266592792e-05,1,1,0.000161396134340939,575,0
N06-Shubert2D,18,1,16,12675,1.4061427975775587e-05,1,1,1.951367928209472e-05,640,1
N06-Shubert2D,18,1,17,13310,1.8011023115604985e-05,1,1,4.397891738583752e-05,615,1
N06-Shubert2D,18,1,18,13985,1.6269837459503833e-05,1,1,1.1983838289116417e-05,655,1
N06-Shubert2D,18,1,19,14620,4.939663318737075e-05,1,1,4.397891738583752e-05,615,0
N06-Shubert2D,18,1,20,15360,63.15413806272194,1,1,1.4489118831577082e-06,720,1
N06-Shubert2D,18,1,21,15970,7.672359743082779e-07,1,1,9.911740100212916e-05,590,1
N06-Shubert2D,18,1,22,16565,6.294313908483673e-05,1,1,0.000161396134340939,575,0
N06-Shubert2D,18,1,23,17165,3.5169421551017876e-05,1,1,0.00013718671418979815,580,1
N06-Shubert2D,18,1,24,17825,3.9604636071999266e-05,1,1,1.951367928209472e-05,640,1
N06-Shubert2D,18,1,25,18455,8.776330190585213e-06,1,1,5.173990280686767e-05,610,1
N06-Shubert2D,18,1,26,19080,2.0186894573726022e-05,1,1,6.0870473890432556e-05,605,1
N06-Shubert2D,18,1,27,19660,2.93375879323321e-05,1,1,0.0002628066506671101,560,0
N06-Shubert2D,18,2,0,2570,8.526512829121202e-14,1,1,1e-06,901,1
N06-Shubert2D,18,2,1,3035,5.8991386708839855e-06,1,1,0.002081760991507147,445,1
N06-Shubert2D,18,2,2,3610,8.873240929574422e-05,1,1,0.0003091842949024825,555,0
N06-Shubert2D,18,2,3,4175,3.777660856485454e-05,1,1,0.0004279367403494568,545,1
