function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F18-SchafferF7ill,3,-1,1937,0.00022948675667677776,0.00022948675667677776,-1,-1,True
F18-SchafferF7ill,4,-1,3118,3.552713678800501e-15,3.552713678800501e-15,2488,2488,True
F18-SchafferF7ill,5,-1,3274,3.552713678800501e-15,3.552713678800501e-15,2154,2154,True
F18-SchafferF7ill,6,-1,3308,3.552713678800501e-15,3.552713678800501e-15,2193,2193,True
F18-SchafferF7ill,7,-1,2583,8.419931418757187e-13,8.419931418757187e-13,1618,1618,True
F18-SchafferF7ill,8,-1,2673,9.308109838457312e-13,9.308109838457312e-13,1753,1753,True
F18-SchafferF7ill,9,-1,2483,3.552713678800501e-15,3.552713678800501e-15,1778,1778,True
F18-SchafferF7ill,10,-1,4023,3.552713678800501e-15,3.552713678800501e-15,2563,2563,True
F18-SchafferF7ill,11,-1,4018,3.552713678800501e-15,3.552713678800501e-15,2258,2258,True
F18-SchafferF7ill,12,-1,2334,3.552713678800501e-15,3.552713678800501e-15,1588,1588,True
F18-SchafferF7ill,13,-1,4342,3.552713678800501e-15,3.552713678800501e-15,2793,2793,True
F18-SchafferF7ill,14,-1,2188,3.552713678800501e-15,3.552713678800501e-15,1628,1628,True
F18-SchafferF7ill,15,-1,2688,7.006661917330348e-11,7.006661917330348e-11,1894,1894,True
F18-SchafferF7ill,16,-1,3768,3.552713678800501e-15,3.552713678800501e-15,2713,2713,True
F18-SchafferF7ill,17,-1,2578,2.1316282072803006e-14,2.1316282072803006e-14,1744,1744,True
F18-SchafferF7ill,18,-1,3438,3.552713678800501e-15,3.552713678800501e-15,2093,2093,True
F18-SchafferF7ill,19,-1,1321,2.861219103778012e-05,2.861219103778012e-05,-1,-1,True
F19-GriewankRosenbrock,0,-1,1897,0.0,0.0,1595,1595,True
F19-GriewankRosenbrock,1,-1,2614,0.0,0.0,2164,2164,True
F19-GriewankRosenbrock,2,-1,1644,0.0,0.0,1316,1316,True
F19-GriewankRosenbrock,3,-1,1304,0.0,0.0,1046,1046,True
F19-GriewankRosenbrock,4,-1,1294,0.0,0.0,863,863,True
F19-GriewankRosenbrock,5,-1,1940,0.0,0.0,1620,1620,True
F19-GriewankRosenbrock,6,-1,978,0.0,0.0,707,707,True
F19-GriewankRosenbrock,7,-1,1288,0.0,0.0,937,937,True
F19-GriewankRosenbrock,8,-1,1272,0.0,0.0,927,927,True
F19-GriewankRosenbrock,9,-1,1104,0.0,0.0,777,777,True
F19-GriewankRosenbrock,10,-1,3431,0.0,0.0,3020,3020,True
F19-GriewankRosenbrock,11,-1,2370,0.0,0.0,2022,2022,True
F19-GriewankRosenbrock,12,-1,1944,0.0,0.0,1667,1667,True
F19-GriewankRosenbrock,13,-1,1174,0.0,0.0,761,761,True
F19-GriewankRosenbrock,14,-1,1854,0.0,0.0,1497,1497,True
F19-GriewankRosenbrock,15,-1,1317,0.0,0.0,907,907,True
F19-GriewankRosenbrock,16,-1,2175,0.0,0.0,1771,1771,True
F19-GriewankRosenbrock,17,-1,2025,0.0,0.0,1770,1770,True
F19-GriewankRosenbrock,18,-1,1151,0.0,0.0,696,696,True
F19-GriewankRosenbrock,19,-1,1296,0.0,0.0,921,921,True
F20-Schwefel,0,-1,2399,0.0,0.0,2230,2230,True
F20-Schwefel,1,-1,1061,0.0,0.0,912,912,True
F20-Schwefel,2,-1,1183,0.0,0.0,914,914,True
F20-Schwefel,3,-1,1527,0.0,0.0,1237,1237,True
F20-Schwefel,4,-1,2861,0.0,0.0,2634,2634,True
F20-Schwefel,5,-1,3157,0.0,0.0,3016,3016,True
